[2026-09-07 16:23:30] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.136.1 Chrome/148.0.7778.280 Electron/42.10.0 Safari/537.36","timestamp":"2026-09-07T16:23:29.232Z"} 
[2026-09-07 17:09:47] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:09:46.495Z"} 
[2026-09-07 17:10:30] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:10:30.583Z"} 
[2026-09-07 17:10:30] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:10:30.610Z"} 
[2026-09-07 17:10:30] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:10:30.613Z"} 
[2026-09-07 17:10:35] local.ERROR: Invalid DOM property `%s`. Did you mean `%s`? stroke-width strokeWidth {"url":"http://localhost:8000/dashboard","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:10:35.729Z"} 
[2026-09-07 17:12:26] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:12:25.745Z"} 
[2026-09-07 17:12:26] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:12:25.755Z"} 
[2026-09-07 17:12:27] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/settings/profile","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T17:12:26.607Z"} 
[2026-09-07 18:10:35] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:10:35.109Z"} 
[2026-09-07 18:10:35] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:10:35.472Z"} 
[2026-09-07 18:10:36] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:10:36.046Z"} 
[2026-09-07 18:25:06] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:25:06.497Z"} 
[2026-09-07 18:25:07] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:25:06.833Z"} 
[2026-09-07 18:25:07] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:25:07.275Z"} 
[2026-09-07 18:34:24] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:34:24.340Z"} 
[2026-09-07 18:34:24] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:34:24.346Z"} 
[2026-09-07 18:34:24] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:34:24.363Z"} 
[2026-09-07 18:36:45] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:36:44.689Z"} 
[2026-09-07 18:36:45] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:36:44.689Z"} 
[2026-09-07 18:36:46] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:36:46.074Z"} 
[2026-09-07 18:36:46] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:36:46.081Z"} 
[2026-09-07 18:36:46] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:36:46.085Z"} 
[2026-09-07 18:43:42] local.ERROR: Invalid DOM property `%s`. Did you mean `%s`? stroke-width strokeWidth {"url":"http://localhost:8000/dashboard","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:43:42.663Z"} 
[2026-09-07 18:43:47] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:43:47.147Z"} 
[2026-09-07 18:43:47] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:43:47.152Z"} 
[2026-09-07 18:43:47] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:43:47.155Z"} 
[2026-09-07 18:44:54] local.ERROR: Invalid DOM property `%s`. Did you mean `%s`? stroke-width strokeWidth {"url":"http://localhost:8000/dashboard","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:44:54.275Z"} 
[2026-09-07 18:49:29] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:49:29.707Z"} 
[2026-09-07 18:49:29] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:49:29.713Z"} 
[2026-09-07 18:49:29] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:49:29.715Z"} 
[2026-09-07 18:50:05] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:04.926Z"} 
[2026-09-07 18:50:05] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:04.926Z"} 
[2026-09-07 18:50:13] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:13.314Z"} 
[2026-09-07 18:50:13] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:13.314Z"} 
[2026-09-07 18:50:21] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:20.069Z"} 
[2026-09-07 18:50:21] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:20.069Z"} 
[2026-09-07 18:50:31] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:31.716Z"} 
[2026-09-07 18:50:31] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:50:31.716Z"} 
[2026-09-07 18:51:05] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:51:05.194Z"} 
[2026-09-07 18:51:05] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T18:51:05.194Z"} 
[2026-09-07 20:37:40] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T20:37:38.061Z"} 
[2026-09-07 20:37:40] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T20:37:38.062Z"} 
[2026-09-07 20:38:18] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T20:38:18.080Z"} 
[2026-09-07 20:38:18] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-07T20:38:18.080Z"} 
[2026-09-09 17:08:47] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:08:47.532Z"} 
[2026-09-09 17:08:47] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:08:47.538Z"} 
[2026-09-09 17:08:52] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:08:51.772Z"} 
[2026-09-09 17:09:56] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:09:55.806Z"} 
[2026-09-09 17:09:56] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:09:55.810Z"} 
[2026-09-09 17:11:13] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:11:13.739Z"} 
[2026-09-09 17:11:13] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:11:13.745Z"} 
[2026-09-09 17:33:01] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:33:01.209Z"} 
[2026-09-09 17:33:01] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:33:01.232Z"} 
[2026-09-09 17:33:06] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:33:05.643Z"} 
[2026-09-09 17:33:46] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:33:46.355Z"} 
[2026-09-09 17:33:46] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:33:46.355Z"} 
[2026-09-09 17:39:56] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:39:56.618Z"} 
[2026-09-09 17:39:56] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:39:56.623Z"} 
[2026-09-09 17:45:40] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:45:40.588Z"} 
[2026-09-09 17:45:40] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:45:40.594Z"} 
[2026-09-09 17:45:44] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/register","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:45:44.486Z"} 
[2026-09-09 17:54:58] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/orcamento","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:54:58.473Z"} 
[2026-09-09 17:54:58] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/orcamento","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:54:58.482Z"} 
[2026-09-09 17:54:58] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/orcamento","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-09T17:54:58.491Z"} 
[2026-09-12 21:19:37] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:19:37.369Z"} 
[2026-09-12 21:19:37] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:19:37.389Z"} 
[2026-09-12 21:19:38] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:19:37.894Z"} 
[2026-09-12 21:26:55] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:26:54.833Z"} 
[2026-09-12 21:26:55] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:26:54.838Z"} 
[2026-09-12 21:26:55] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:26:55.597Z"} 
[2026-09-12 21:43:49] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:43:48.732Z"} 
[2026-09-12 21:44:15] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:44:14.940Z"} 
[2026-09-12 21:45:00] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:44:58.292Z"} 
[2026-09-12 21:45:00] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:44:58.292Z"} 
[2026-09-12 21:45:11] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:11.173Z"} 
[2026-09-12 21:45:11] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:11.173Z"} 
[2026-09-12 21:45:15] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:15.247Z"} 
[2026-09-12 21:45:15] local.INFO: %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:15.254Z"} 
[2026-09-12 21:45:15] local.DEBUG: [vite] connected. {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:15.262Z"} 
[2026-09-12 21:45:31] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:30.860Z"} 
[2026-09-12 21:45:31] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:30.860Z"} 
[2026-09-12 21:45:34] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:34.174Z"} 
[2026-09-12 21:45:34] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:34.174Z"} 
[2026-09-12 21:45:37] local.DEBUG: [vite] hot updated: /resources/js/pages/welcome.tsx {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:37.551Z"} 
[2026-09-12 21:45:37] local.DEBUG: [vite] hot updated: /resources/css/app.css {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:45:37.551Z"} 
[2026-09-12 21:50:23] local.DEBUG: [vite] connecting... {"url":"http://localhost:8000/","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0","timestamp":"2026-09-12T21:50:22.058Z"} 
